,,,,,
Course ID,Title,Section,Lecturer,Schedule,Language
HOSP-110,Food and Beverage Management,1,Panayiotou George,Mo 12:00-15:00,English
HOSP-210,Bar Management,1,Panayiotou George,Tu 15:00-18:00,English
HOSP-310,Hospitality IT with Digital Marketing,1,Panayiotou George,Th 15:00-18:00,English
HOSP-491,Thesis,2,Panayiotou George,Not Scheduled,English
THOM-201,Internship I,1,Panayiotou George,Not Scheduled,English
THOM-201,Internship I,1,Panayiotou George,Not Scheduled,English
THOM-240,Managing Special Events,1,Panayiotou George,We 09:00-12:00,English
THOM-240,Managing Special Events,1,Panayiotou George,We 09:00-12:00,English
THOM-301,Internship II,1,Panayiotou George,Not Scheduled,English
THOM-301,Internship II,1,Panayiotou George,Not Scheduled,English
THOM-475,Senior Year Seminar in Tourism and Hospi,1,Panayiotou George,Mo 09:00-12:00,English
ACCT-421,Cyprus Taxation,1,Papadopoulou C.,Mo 18:00-21:00,English
BADM-481,Business Task Assignment,1,Papasolomou Ioanna,Not Scheduled,English
BADM-486,Task-Based Internship,7,Papasolomou Ioanna,Not Scheduled,English
BADM-493,Final Year Project,2,Papasolomou Ioanna,Not Scheduled,English
MBAN-740DE,Thesis in Marketing,1,Papasolomou Ioanna,Dist. Learning,English
MKTG-291,Marketing,2,Papasolomou Ioanna,Tu 09:00-12:00,English
MKTG-380,Marketing of Services,1,Papasolomou Ioanna,We 09:00-12:00,English
MKTG-499,Marketing Internship,1,Papasolomou Ioanna,Not Scheduled,English
PHD-806S,Thesis,2,Papasolomou Ioanna,Not Scheduled,English
MBAN-671DE,Business Processes and Systems,1,Phanouriou Constantinos,Dist. Learning,English
MBAN-751,Corporate Social Responsibility,1,Pocinkova L.,Fr 18:00-21:00,English
MKTG-331,CSR and Sustainable Marketing,1,Pocinkova L.,Mo 18:00-21:00,English
MBAN-620DE,Business Economics,1,Repousis Spyridon,Dist. Learning,English
MBAN-620DG,?????????? ??? ?¹??????????,3,Repousis Spyridon,Dist. Learning,Greek
MBAN-640DG,????????????????? ????????,3,Repousis Spyridon,Dist. Learning,Greek
MBAN-726DE,Working Capital Management,1,Repousis Spyridon,Dist. Learning,English
MBAN-750,Thesis in Finance,1,Repousis Spyridon,Not Scheduled,English
MBAN-756DE,Financial Risk Management,1,Repousis Spyridon,Dist. Learning,English
MBAN-756DG,?????????? ??????????? ????????,1,Repousis Spyridon,Dist. Learning,Greek
MBAN-758DE,Working Capital Management,1,Repousis Spyridon,Dist. Learning,English
MBAN-758DG,???????? ????????? ???????,1,Repousis Spyridon,Dist. Learning,Greek
BADM-493,Final Year Project,1,Sapuric Svetlana,Not Scheduled,English
FIN-366,Corporate Finance,1,Sapuric Svetlana,Tu 09:00-12:00,English
FIN-410,Financial Management,1,Sapuric Svetlana,Mo 09:00-12:00,English
MBAN-622,Financial Management,1,Sapuric Svetlana,We 18:00-21:00,English
MBAN-640,Financial Management,1,Sapuric Svetlana,We 18:00-21:00,English
MBAN-640DE,Financial Management,1,Sapuric Svetlana,Dist. Learning,English
PHD-806S,Thesis,8,Sapuric Svetlana,Not Scheduled,English
ENTR-300,Social Entrepreneurship,1,Sozos N.,Mo 12:00-15:00,English
MGT-281,Introduction to Management,1,Sozos N.,Mo 15:00-18:00,English
BLOC-515DL,Blockchain and Entrepreneurship Management,1,Themistocleous Marinos,Dist. Learning,English
BLOC-515DL,Blockchain and Entrepreneurship Management,2,Themistocleous Marinos,Dist. Learning,English
PHD-806S,Thesis,6,Themistocleous Marinos,Not Scheduled,English
BLOC-512DL,Blockchain Systems and Architectures,1,Themistocleous M.&Louca S &.,Dist. Learning,English
BLOC-512DL,Blockchain Systems and Architectures,2,Themistocleous M.&Louca S &.,Dist. Learning,English
BLOC-526DL,Emerging Topics in FinTech,1,Thivaios P.,Dist. Learning,English
BLOC-526DL,Emerging Topics in FinTech,2,Thivaios P.,Dist. Learning,English
BADM-486,Task-Based Internship,3,Thrassou Alkis,Not Scheduled,English
MBAN-650,Strategic Marketing,1,Thrassou Alkis,Mo 18:00-21:00,English
MBAN-650DG,?????????? ??????????,1,Thrassou Alkis,Dist. Learning,Greek
MBAN-650DG,?????????? ??????????,2,Thrassou Alkis,Dist. Learning,Greek
MKTG-493,Strategic Marketing,1,Thrassou Alkis,Tu 15:00-18:00,English
PHD-806S,Thesis,7,Thrassou Alkis,Not Scheduled,English
BADM-496,Project / Thesis,2,Tsakiris Theodoros,Not Scheduled,English
MBAN-760,"Thesis in Energy, Oil and Natural Gas",1,Tsakiris Theodoros,Not Scheduled,English
MBAN-760DG,"???????? ??? ?????????? ??????????, ????",1,Tsakiris Theodoros,Not Scheduled,Greek
MIR-545DG,???¹??????? ??? ????????? ???? ????????? ????????,1,Tsakiris Theodoros,Dist. Learning,Greek
OGAS-220,Economics of the Global Energy Transition and Renewable Energy Sources,1,Tsakiris Theodoros,Fr 12:00-15:00,English
OGAS-220,Economics of the Global Energy Transition and Renewable Energy Sources,1,Tsakiris Theodoros,Fr 12:00-15:00,English
OGAS-315,The International Oil & Gas Markets: Act,1,Tsakiris Theodoros,Fr 15:00-18:00,English
OGAS-315,The International Oil & Gas Markets: Act,1,Tsakiris Theodoros,Fr 15:00-18:00,English
OGAS-485,Energy Internship,1,Tsakiris Theodoros,Not Scheduled,English
OGAS-485,Energy Internship,1,Tsakiris Theodoros,Not Scheduled,English
PHDS-100,Doctoral Course - Spring semester,10,Tsakiris Theodoros,Not Scheduled,English
MATH-321,Statistics II,1,Tsangari Haritini,Tu 09:00-12:00,English
MATH-321,Statistics II,4,Tsangari Haritini,Th 09:00-12:00,English
MBAN-560DE,Foundations in Statistics and Research,1,Tsangari Haritini,Dist. Learning,English
MBAN-560DG,?????????? ??? ??????,1,Tsangari Haritini,Dist. Learning,Greek
MBAN-710,Decision Making Methods and Tools,1,Tsangari Haritini,Tu 18:00-21:00,English
MBAN-710DG,??????? ??? ???????? ????? ?¹???????,1,Tsangari Haritini,Dist. Learning,Greek
MBAN-710DG,??????? ??? ???????? ????? ?¹???????,2,Tsangari Haritini,Dist. Learning,Greek
PHD-805S,Proposal,1,Tsangari Haritini,Not Scheduled,English
PHD-806S,Thesis,4,Tsangari Haritini,Not Scheduled,English
MBAN-670DG,???????? ????????? ??? ??????? ?????????,1,Tsirikas Athanasios,Dist. Learning,Greek
MBAN-672DG,?????????¹????? ??? ???????? ?¹????????????? ??????????,1,Tsirikas Athanasios,Dist. Learning,Greek
